example_id                                                      | status | run_time        |
./spec/smoke/jive_page/profile_activity_page_spec.rb[1:2]       | passed | 0.05632 seconds |
./spec/smoke/jive_page/profile_activity_page_spec.rb[1:3]       | passed | 0.23985 seconds |
./spec/smoke/jive_page/profile_activity_page_spec.rb[1:4]       | passed | 0.06428 seconds |
./spec/smoke/jive_page/profile_places_page_spec.rb[1:1]         | passed | 0.66837 seconds |
./spec/smoke/jive_page/search_page_spec.rb[1:1]                 | passed | 0.27844 seconds |
./spec/smoke/jive_page/search_page_spec.rb[1:2]                 | passed | 0.06378 seconds |
./spec/smoke/jive_page/search_page_spec.rb[1:3]                 | passed | 0.40576 seconds |
./spec/smoke/jive_page/space_content_page_spec.rb[1:1]          | passed | 0.79634 seconds |
./spec/smoke/jive_page/space_page_spec.rb[1:1]                  | passed | 0.63072 seconds |
./spec/smoke/jive_page/space_people_page_spec.rb[1:1]           | passed | 0.88545 seconds |
./spec/smoke/jive_page/space_subspaces_page_spec.rb[1:1]        | passed | 0.71488 seconds |
./spec/smoke/jive_page/sub_space_content_page_spec.rb[1:1]      | passed | 0.49653 seconds |
./spec/smoke/jive_page/sub_space_page_spec.rb[1:1]              | passed | 0.46547 seconds |
./spec/smoke/jive_page/sub_space_people_page_spec.rb[1:1]       | passed | 1.19 seconds    |
./spec/smoke/jive_page/sub_space_subspaces_page_spec.rb[1:1]    | passed | 0.63272 seconds |
./spec/smoke/jive_page/user_bookmarks_page_spec.rb[1:1]         | passed | 1.77 seconds    |
./spec/smoke/jive_page/view_blog_page_spec.rb[1:1]              | passed | 0.66759 seconds |
./spec/smoke/jive_page/view_discussion_page_spec.rb[1:1]        | passed | 0.6331 seconds  |
./spec/smoke/jive_page/view_discussion_page_spec.rb[1:2]        | passed | 0.305 seconds   |
./spec/smoke/jive_page/view_discussion_page_spec.rb[1:3]        | passed | 0.77348 seconds |
./spec/smoke/jive_page/view_discussion_page_spec.rb[1:4]        | passed | 0.05732 seconds |
./spec/smoke/jive_page/view_discussion_page_spec.rb[1:5]        | passed | 0.06066 seconds |
./spec/smoke/jive_page/view_discussion_page_spec.rb[1:6]        | passed | 0.04763 seconds |
./spec/smoke/jive_page/view_discussion_page_spec.rb[1:7]        | passed | 0.04974 seconds |
./spec/smoke/jive_page/view_discussion_page_spec.rb[1:8]        | passed | 0.05157 seconds |
./spec/smoke/jive_page/view_discussion_page_spec.rb[1:9]        | passed | 2.06 seconds    |
./spec/smoke/jive_page/view_document_page_spec.rb[1:1]          | passed | 0.79134 seconds |
./spec/smoke/jive_page/view_document_page_spec.rb[1:2]          | passed | 0.42432 seconds |
./spec/smoke/jive_page/view_document_page_spec.rb[1:3]          | passed | 1.44 seconds    |
./spec/smoke/jive_page/view_incident_report_page_spec.rb[1:1]   | passed | 0.48138 seconds |
./spec/smoke/jive_page/view_poll_page_spec.rb[1:1]              | passed | 1.24 seconds    |
./spec/smoke/jive_page/view_profile_page_spec.rb[1:1]           | passed | 0.42487 seconds |
